Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Wine ratings count,Wine type,Link to wine,User cellar count
Château Latour à Pomerol,Pomerol,2009,Pomerol,France,Bordeaux Pomerol,4.3,8161,Red Wine,https://www.vivino.com/wines/1183233,1
Château Margaux,Pavillon Rouge du Château Margaux,2007,Margaux,France,Bordeaux Margaux,4.4,20386,Red Wine,https://www.vivino.com/wines/1183244,1
Château Latour à Pomerol,Pomerol,2006,Pomerol,France,Bordeaux Pomerol,4.3,8161,Red Wine,https://www.vivino.com/wines/1183331,1
Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé),2004,Saint-Julien,France,Bordeaux Saint-Julien,4.4,35771,Red Wine,https://www.vivino.com/wines/1223424,1
Château Léoville Las Cases,Saint-Julien (Grand Cru Classé),2008,Saint-Julien,France,Bordeaux Saint-Julien,4.4,34575,Red Wine,https://www.vivino.com/wines/1232726,1
Château Margaux,Pavillon Rouge du Château Margaux,1997,Margaux,France,Bordeaux Margaux,4.4,20386,Red Wine,https://www.vivino.com/wines/1289543,1
Château Durfort-Vivens,Margaux (Grand Cru Classé),2004,Margaux,France,Bordeaux Margaux,4.1,13592,Red Wine,https://www.vivino.com/wines/3796784,1
Château de Lauga,Haut-Médoc,2014,Haut-Médoc,France,Bordeaux Haut-Médoc Red,3.8,1229,Red Wine,https://www.vivino.com/wines/30877755,1
Château Rauzan-Ségla,Ségla Margaux,2016,Margaux,France,Bordeaux Margaux,4.2,17378,Red Wine,https://www.vivino.com/wines/109451788,1
Château Ducru-Beaucaillou,La Croix Ducru-Beaucaillou Cuvée Colbert Saint-Julien,2015,Saint-Julien,France,Bordeaux Saint-Julien,4.2,803,Red Wine,https://www.vivino.com/wines/144842548,2
Château Montrose,Saint-Estèphe (Grand Cru Classé),2017,Saint-Estèphe,France,Bordeaux Saint-Estèphe,4.3,44089,Red Wine,https://www.vivino.com/wines/150371625,1
Château Cantemerle,Haut-Médoc (Grand Cru Classé),2018,Haut-Médoc,France,Bordeaux Haut-Médoc Red,4.0,39325,Red Wine,https://www.vivino.com/wines/156140252,1
Château Malescot St. Exupery,La Dame de Malescot Margaux,2018,Margaux,France,Bordeaux Margaux,4.1,6395,Red Wine,https://www.vivino.com/wines/156621941,1
Château Durfort-Vivens,Margaux (Grand Cru Classé),2019,Margaux,France,Bordeaux Margaux,4.1,13592,Red Wine,https://www.vivino.com/wines/159696783,1
Domaine Rossignol-Trapet,Chapelle-Chambertin Grand Cru,2019,Chapelle-Chambertin Grand Cru,France,Burgundy Côte de Nuits Red,4.3,743,Red Wine,https://www.vivino.com/wines/160417027,1
Château Haut-Bages Libéral,La Chapelle de Bages Pauillac,2019,Pauillac,France,Bordeaux Pauillac,3.9,3207,Red Wine,https://www.vivino.com/wines/160675199,1
Château Sociando-Mallet,Haut-Médoc,2020,Haut-Médoc,France,Bordeaux Haut-Médoc Red,4.1,34410,Red Wine,https://www.vivino.com/wines/162934619,1
Château Latour,Pauillac de Latour,2020,Pauillac,France,Bordeaux Pauillac,4.3,13715,Red Wine,https://www.vivino.com/wines/163631212,1
Domaine de Rochegrés,Moulin-à-Vent,2020,Moulin-à-Vent,France,Beaujolais Red,3.8,1269,Red Wine,https://www.vivino.com/wines/163680263,1
Louis Jadot,Chateau des Jacques Clos de Rochegrès Moulin-à-Vent,2020,Moulin-à-Vent,France,Beaujolais Red,3.9,1550,Red Wine,https://www.vivino.com/wines/165930319,1
Xavier Vignon,Xavier Cuvée Châteauneuf-du-Pape,2000,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.3,257,Red Wine,https://www.vivino.com/wines/166469909,1
Château Lagrange,Saint-Julien (Grand Cru Classé),2021,Saint-Julien,France,Bordeaux Saint-Julien,4.1,42033,Red Wine,https://www.vivino.com/wines/167063277,1
Petit-Figeac,Saint-Émilion,2022,Saint-Émilion,France,Bordeaux Saint-Émilion,4.2,6590,Red Wine,https://www.vivino.com/wines/170610602,1
Jean-Maurice Raffault,Le Puy Chinon,2023,Chinon,France,French Middle Loire Cabernet Franc Red,4.0,1252,Red Wine,https://www.vivino.com/wines/173994662,1
Domaine Marquis d'Angerville,Volnay Champans 1er Cru,2023,Volnay 1er Cru 'Champans',France,Burgundy Côte de Beaune Red,4.3,4148,Red Wine,https://www.vivino.com/wines/174060258,1
Michel Gros,Vosne Romanée,2023,Vosne-Romanée,France,Burgundy Côte de Nuits Red,4.2,1908,Red Wine,https://www.vivino.com/wines/174319562,1
Camille Giroud,Mercurey,2022,Mercurey,France,Burgundy Côte Chalonnaise Red,4.1,269,Red Wine,https://www.vivino.com/wines/176880280,1
Lucien le Moine,Pommard Premier Cru Les Épenots,2022,Pommard Premier Cru,France,Burgundy Côte de Beaune Red,4.3,559,Red Wine,https://www.vivino.com/wines/179104794,1
Lucien le Moine,Volnay 1er Cru 'Santenots',2022,Volnay 1er Cru 'Santenots',France,Burgundy Côte de Beaune Red,4.2,54,Red Wine,https://www.vivino.com/wines/179104801,1
